Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M10,3.494
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M09,4.260
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M08,4.259
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M07,4.200
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M06,4.182
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M05,4.122
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M04,3.860
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M03,3.699
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M02,3.749
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M01,3.547
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M12,2.937
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M11,3.186
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M10,2.961
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M09,3.206
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M08,3.000
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M07,3.609
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M06,3.087
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M05,2.905
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M04,3.054
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M03,3.054
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M02,3.233
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M01,3.547
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M12,2.325
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M11,2.574
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M10,2.741
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M09,2.496
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M08,2.358
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M07,2.965
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M06,2.658
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M05,2.801
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M04,2.510
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M03,2.618
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M02,2.441
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M01,2.875
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M12,1.889
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M11,1.996
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M10,2.001
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M09,2.468
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M08,2.503
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M07,2.659
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M06,2.247
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M05,2.435
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M04,2.049
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M03,1.790
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M02,2.892
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M01,3.582
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M12,1.764
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M11,2.003
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M10,1.839
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M09,2.155
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M08,2.244
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M07,2.483
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M06,2.167
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M05,2.348
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M04,1.789
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M03,1.981
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M02,2.580
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2012M01,2.889
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M12,1.702
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M11,2.092
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M10,1.903
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M09,2.182
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M08,2.246
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M07,2.300
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M06,2.197
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M05,2.694
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M04,2.006
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M03,2.548
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M02,4.571
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2011M01,4.082
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M12,2.493
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M11,2.562
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M10,2.345
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M09,3.071
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M08,3.693
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M07,3.848
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M06,3.082
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M05,3.224
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M04,2.784
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M03,3.045
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M02,3.610
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2010M01,3.245
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M12,2.354
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M11,2.251
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M10,2.539
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M09,2.998
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M08,2.457
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M07,2.749
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M06,2.415
