Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M07,3.623
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M06,2.899
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M05,3.036
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M04,2.593
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M03,2.913
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M02,3.368
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2010M01,3.065
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M12,2.156
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M11,2.122
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M10,2.407
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M09,2.762
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M08,2.300
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M07,2.573
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M06,2.228
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M05,2.116
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M04,1.724
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M03,2.035
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M02,1.908
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2009M01,2.255
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M12,1.814
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M11,2.170
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M10,2.279
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M09,2.698
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M08,2.290
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M07,2.919
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M06,2.800
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M05,3.238
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M04,3.457
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M03,3.016
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M02,3.970
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2008M01,4.718
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M12,3.178
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M11,3.627
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M10,3.779
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M09,4.667
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M08,4.615
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M07,5.370
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M06,5.397
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M05,6.499
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M04,5.066
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M03,6.377
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M02,6.918
Total Nacional,09 Catalua,08 Barcelona,Vivienda libre,2007M01,8.262
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2023M04,454
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2023M03,572
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2023M02,479
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2023M01,517
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M12,426
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M11,505
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M10,598
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M09,484
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M08,547
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M07,546
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M06,490
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M05,576
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M04,495
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M03,637
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M02,499
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2022M01,490
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M12,544
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M11,444
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M10,442
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M09,533
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M08,501
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M07,537
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M06,513
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M05,494
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M04,463
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M03,563
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M02,386
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2021M01,350
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M12,393
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M11,381
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M10,330
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M09,323
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M08,297
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M07,364
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M06,341
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M05,293
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M04,310
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M03,402
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M02,440
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2020M01,464
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M12,374
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M11,502
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M10,537
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M09,478
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M08,388
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M07,611
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M06,507
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M05,571
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M04,497
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M03,468
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M02,518
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2019M01,497
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M12,375
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M11,522
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M10,543
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M09,496
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M08,579
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M07,603
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M06,540
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M05,583
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M04,549
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M03,563
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M02,531
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2018M01,619
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M12,413
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M11,539
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M10,427
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M09,462
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M08,542
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M07,537
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M06,586
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M05,646
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M04,478
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M03,642
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M02,565
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2017M01,571
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M12,453
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M11,468
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M10,452
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M09,543
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M08,582
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M07,557
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M06,515
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M05,517
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M04,578
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M03,517
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M02,578
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2016M01,478
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M12,414
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M11,414
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M10,401
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M09,436
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M08,413
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M07,546
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M06,436
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M05,372
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M04,416
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M03,459
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M02,432
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2015M01,416
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M12,304
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M11,313
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M10,348
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M09,330
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M08,299
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M07,340
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M06,326
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M05,357
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M04,325
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M03,296
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M02,310
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2014M01,403
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M12,255
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M11,251
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M10,310
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M09,271
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M08,355
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M07,330
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M06,301
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M05,302
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M04,274
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M03,264
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M02,474
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2013M01,599
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M12,261
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M11,319
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M10,110
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M09,107
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M08,117
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M07,169
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M06,119
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M05,104
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M04,100
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M03,144
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M02,144
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2012M01,189
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M12,103
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M11,123
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M10,103
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M09,134
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M08,112
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M07,151
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M06,136
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M05,149
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M04,226
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M03,182
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M02,376
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2011M01,381
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M12,101
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M11,121
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M10,203
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M09,168
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M08,196
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M07,225
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M06,183
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M05,188
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M04,191
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M03,132
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M02,242
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2010M01,180
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M12,198
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M11,129
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M10,132
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M09,236
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M08,157
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M07,176
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M06,187
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M05,122
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M04,93
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M03,140
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M02,116
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2009M01,267
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M12,228
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M11,254
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M10,250
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M09,224
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M08,191
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M07,279
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M06,172
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M05,148
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M04,180
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M03,197
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M02,198
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2008M01,190
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M12,169
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M11,192
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M10,251
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M09,205
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M08,233
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M07,332
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M06,476
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M05,557
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M04,233
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M03,277
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M02,284
Total Nacional,09 Catalua,08 Barcelona,Vivienda protegida,2007M01,466
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2023M04,1.066
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2023M03,1.229
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2023M02,1.224
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2023M01,1.409
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M12,1.081
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M11,1.326
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M10,1.252
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M09,1.432
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M08,1.435
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M07,1.343
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M06,1.243
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M05,1.421
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M04,1.071
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M03,1.267
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M02,1.120
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2022M01,1.199
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M12,1.065
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M11,1.122
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M10,1.153
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M09,1.216
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M08,1.098
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M07,1.170
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M06,883
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M05,1.022
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M04,855
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M03,1.005
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M02,1.020
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2021M01,923
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M12,899
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M11,946
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M10,764
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M09,805
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M08,745
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M07,746
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M06,562
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M05,468
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M04,520
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M03,819
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M02,917
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2020M01,1.047
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M12,741
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M11,783
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M10,990
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M09,840
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M08,794
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M07,1.070
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M06,851
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M05,1.120
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M04,840
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M03,958
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M02,854
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2019M01,1.065
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M12,734
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M11,935
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M10,997
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M09,839
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M08,868
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M07,1.014
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M06,811
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M05,878
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M04,915
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M03,928
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M02,867
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2018M01,975
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M12,623
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M11,877
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M10,827
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M09,768
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M08,968
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M07,964
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M06,926
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M05,1.017
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M04,733
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M03,925
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M02,817
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2017M01,908
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M12,666
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M11,762
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M10,664
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M09,774
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M08,852
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M07,757
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M06,810
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M05,716
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M04,690
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M03,654
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M02,955
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2016M01,701
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M12,649
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M11,660
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M10,579
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M09,659
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M08,605
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M07,696
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M06,602
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M05,609
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M04,571
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M03,602
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M02,633
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2015M01,747
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M12,644
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M11,603
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M10,571
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M09,640
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M08,584
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M07,658
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M06,592
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M05,688
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M04,520
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M03,586
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M02,532
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2014M01,754
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M12,427
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M11,483
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M10,490
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M09,609
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M08,672
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M07,725
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M06,570
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M05,611
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M04,507
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M03,392
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M02,574
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2013M01,969
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M12,473
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M11,656
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M10,575
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M09,636
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M08,669
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M07,526
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M06,484
Total Nacional,09 Catalua,17 Girona,Viviendas: Total,2012M05,510
