DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
09/02/2022,14,Berguedà,80575,Castell de l'Areny,0.27,0,0,0.27
09/02/2022,4,Alt Urgell,250772,Coll de Nargó,0.07,0,0,0.07
10/02/2022,4,Alt Urgell,252038,"Seu d'Urgell, la",0.03,0.02,0,0.05
11/02/2022,7,Bages,81398,Mura,0,0,0,0
11/02/2022,13,Barcelonès,80193,Barcelona,0,0.01,0,0.01
12/02/2022,14,Berguedà,80240,Borredà,0,0,0,0
12/02/2022,14,Berguedà,80240,Borredà,0,0,0,0
12/02/2022,2,Alt Empordà,170470,Castelló d'Empúries,0,0,0,0
12/02/2022,7,Bages,80386,Callús,0,0,0,0
13/02/2022,34,Selva,172333,Vilobí d'Onyar,0.04,0,0,0.04
14/02/2022,8,Baix Camp,430311,"Borges del Camp, les",0,0.23,0,0.23
14/02/2022,40,Vallès Occidental,81846,Rubí,0,0.01,0,0.01
15/02/2022,38,Urgell,251305,Maldà,0,0.46,0,0.46
15/02/2022,28,Pla de l'Estany,170561,Cornellà del Terri,0.06,0,0,0.06
15/02/2022,16,Conca de Barberà,431687,Vilanova de Prades,0,0.03,0,0.03
15/02/2022,9,Baix Ebre,430081,Alfara de Carles,0,0.01,0,0.01
16/02/2022,40,Vallès Occidental,81846,Rubí,0,0.01,0,0.01
16/02/2022,6,Anoia,82861,"Torre de Claramunt, la",0.02,0,0,0.02
17/02/2022,42,Moianès,80706,Collsuspina,0,0.01,0,0.01
17/02/2022,26,Pallars Sobirà,252094,Sort,0.35,0.4,0,0.75
17/02/2022,28,Pla de l'Estany,171903,Serinyà,0,0,0,0
18/02/2022,38,Urgell,259025,Sant Martí de Riucorb,0,2.5,0,2.5
18/02/2022,6,Anoia,80214,Bellprat,0.54,0,0,0.54
18/02/2022,13,Barcelonès,80193,Barcelona,0,0.01,0,0.01
18/02/2022,14,Berguedà,80497,Casserres,2.9,0,0,2.9
19/02/2022,16,Conca de Barberà,430862,Montblanc,0,0.04,0,0.04
19/02/2022,10,Baix Empordà,170577,Corçà,0,0,0,0
19/02/2022,20,Gironès,172168,Viladasens,0.06,0,0,0.06
20/02/2022,1,Alt Camp,431606,Vallmoll,0,0.1,0,0.1
21/02/2022,10,Baix Empordà,171812,Santa Cristina d'Aro,0,0.03,0,0.03
21/02/2022,40,Vallès Occidental,81846,Rubí,0,0.01,0,0.01
21/02/2022,33,Segrià,250117,Alcarràs,5,0.25,0,5.25
21/02/2022,2,Alt Empordà,171523,Roses,29.6,336.8,0,366.4
21/02/2022,15,Cerdanya,251272,Lles de Cerdanya,0.3,0.5,0,0.8
22/02/2022,42,Moianès,80706,Collsuspina,0,0.08,0,0.08
23/02/2022,2,Alt Empordà,171523,Roses,0,0,0,0
23/02/2022,6,Anoia,81192,Masquefa,0,0.19,0,0.19
23/02/2022,31,Ripollès,171925,Setcases,0,6.5,0,6.5
23/02/2022,18,Garrigues,251180,Juncosa,0.94,0,0,0.94
23/02/2022,25,Pallars Jussà,259046,Castell de Mur,0.2,2.5,0,2.7
23/02/2022,2,Alt Empordà,171523,Roses,0,0,0,0
23/02/2022,12,Baix Penedès,431378,Sant Jaume dels Domenys,0,0.27,0,0.27
23/02/2022,3,Alt Penedès,80919,Gelida,0.02,0,0,0.02
23/02/2022,2,Alt Empordà,171523,Roses,0.01,0,0,0.01
23/02/2022,2,Alt Empordà,171523,Roses,0.04,0,0,0.04
23/02/2022,34,Selva,172137,Vidreres,0.01,0,0,0.01
23/02/2022,40,Vallès Occidental,82671,Sentmenat,0,0.14,0,0.14
23/02/2022,36,Tarragonès,431444,"Secuita, la",0.06,0,0,0.06
23/02/2022,18,Garrigues,251180,Juncosa,0.06,0,0,0.06
25/02/2022,2,Alt Empordà,170622,"Escala, l'",0.1,0,0,0.1
25/02/2022,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.08,0,0.08
26/02/2022,2,Alt Empordà,171292,Pedret i Marzà,0.02,0,0,0.02
26/02/2022,10,Baix Empordà,170852,Jafre,0,0.2,0,0.2
27/02/2022,4,Alt Urgell,252398,"Valls de Valira, les",0.12,0,0,0.12
27/02/2022,10,Baix Empordà,172095,Vall-llobrega,0.02,0,0,0.02
28/02/2022,8,Baix Camp,431286,Riudecols,0,0.12,0.03,0.12
28/02/2022,20,Gironès,171557,Salt,0.12,0,0,0.12
28/02/2022,36,Tarragonès,431649,Vespella de Gaià,0,0.01,0,0.01
28/02/2022,10,Baix Empordà,171447,Regencós,0.04,0,0,0.04
28/02/2022,37,Terra Alta,430640,Gandesa,0.02,0,0,0.02
28/02/2022,20,Gironès,171557,Salt,0,0.25,0,0.25
01/03/2022,9,Baix Ebre,439060,"Ampolla, l'",0.1,0,0,0.1
01/03/2022,9,Baix Ebre,430081,Alfara de Carles,0,0,0,0
01/03/2022,25,Pallars Jussà,252017,Sarroca de Bellera,1.54,0,0,1.54
01/03/2022,20,Gironès,171557,Salt,0.18,0.07,0,0.25
02/03/2022,11,Baix Llobregat,83015,Viladecans,0.01,0,0,0.01
02/03/2022,15,Cerdanya,251790,Prullans,0,0.48,0,0.48
02/03/2022,15,Cerdanya,170828,Guils de Cerdanya,0,0.1,0,0.1
02/03/2022,30,Ribera d'Ebre,430944,Móra la Nova,0,0,0,0
02/03/2022,16,Conca de Barberà,430542,"Espluga de Francolí, l'",0.2,0,0,0.2
03/03/2022,33,Segrià,251207,Lleida,0.1,0.1,0,0.2
03/03/2022,3,Alt Penedès,80919,Gelida,0,0,0,0
03/03/2022,15,Cerdanya,251272,Lles de Cerdanya,0,0.12,0,0.12
03/03/2022,11,Baix Llobregat,81234,Molins de Rei,0.02,0,0,0.02
04/03/2022,11,Baix Llobregat,83015,Viladecans,0.03,0,0,0.03
05/03/2022,33,Segrià,251207,Lleida,0.1,0,0,0.1
05/03/2022,25,Pallars Jussà,252347,Tremp,0.1,0,0,0.1
05/03/2022,7,Bages,80983,Sant Salvador de Guardiola,0.03,0,0,0.03
06/03/2022,10,Baix Empordà,171175,Palafrugell,0,0,0,0
06/03/2022,7,Bages,81136,Manresa,0.03,0,0,0.03
06/03/2022,23,Noguera,250621,Camarasa,0,0,0,0
07/03/2022,25,Pallars Jussà,251902,Salàs de Pallars,0,0.6,0.2,0.6
10/03/2022,33,Segrià,252326,Torres de Segre,0,0.25,0,0.25
10/03/2022,26,Pallars Sobirà,250864,Esterri d'Àneu,0,0.99,0,0.99
22/03/2022,13,Barcelonès,80193,Barcelona,0,0,0,0
23/03/2022,3,Alt Penedès,81458,Olèrdola,0,0.05,0,0.05
23/03/2022,33,Segrià,252326,Torres de Segre,0,0.63,0,0.63
04/04/2022,11,Baix Llobregat,80898,Gavà,0.01,0,0,0.01
04/04/2022,11,Baix Llobregat,81960,Sant Andreu de la Barca,0,0.01,0,0.01
04/04/2022,1,Alt Camp,430056,Alcover,0,0.39,0,0.39
06/04/2022,3,Alt Penedès,81228,Mediona,0,0.01,0,0.01
06/04/2022,21,Maresme,80095,Argentona,0,0.1,0,0.1
06/04/2022,23,Noguera,250404,Balaguer,0.54,0,0,0.54
06/04/2022,33,Segrià,252326,Torres de Segre,0.06,0,0.02,0.06
07/04/2022,37,Terra Alta,430228,Batea,0.03,0,0,0.03
