,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
8457,Municipi,8138,Moià,2021,gener-març,26,475.67
8458,Municipi,8123,Molins de Rei,2021,gener-març,151,746.59
8459,Municipi,25137,Mollerussa,2021,gener-març,110,383.41
8461,Municipi,8124,Mollet del Vallès,2021,gener-març,255,623.06
8464,Municipi,8127,Monistrol de Montserrat,2021,gener-març,14,509.64
8466,Municipi,43086,Montblanc,2021,gener-març,27,426.11
8467,Municipi,43088,Montbrió del Camp,2021,gener-març,17,472.94
8468,Municipi,8125,Montcada i Reixac,2021,gener-març,118,620.86
8475,Municipi,8126,Montgat,2021,gener-març,48,800.75
8476,Municipi,8135,Montmeló,2021,gener-març,18,606.39
8477,Municipi,8136,Montornès del Vallès,2021,gener-març,78,664.08
8479,Municipi,8001,Abrera,2021,gener-març,37,657.24
8480,Municipi,25003,Agramunt,2021,gener-març,18,326.39
8481,Municipi,17001,Agullana,2021,gener-març,7,472.14
8482,Municipi,8014,Aiguafreda,2021,gener-març,17,558.38
8488,Municipi,43002,Albinyana,2021,gener-març,7,566.9
8490,Municipi,43004,Alcanar,2021,gener-març,24,393.33
8492,Municipi,25011,Alcarràs,2021,gener-març,46,415.27
8493,Municipi,25012,Alcoletge,2021,gener-març,11,447.73
8494,Municipi,43005,Alcover,2021,gener-març,6,564.87
8495,Municipi,43904,"Aldea, l'",2021,gener-març,13,301.92
8498,Municipi,8003,Alella,2021,gener-març,32,1268.91
8499,Municipi,25013,Alfarràs,2021,gener-març,6,330.17
8504,Municipi,25019,Almacelles,2021,gener-març,16,392.67
8511,Municipi,43012,Altafulla,2021,gener-març,36,673.16
8512,Municipi,17007,Amer,2021,gener-març,10,516.0
8513,Municipi,43013,"Ametlla de Mar, l'",2021,gener-març,17,438.65
8514,Municipi,8005,"Ametlla del Vallès, l'",2021,gener-març,14,1105.71
8515,Municipi,43906,"Ampolla, l'",2021,gener-març,17,474.12
8516,Municipi,43014,Amposta,2021,gener-març,54,346.1
8517,Municipi,17008,Anglès,2021,gener-març,24,476.46
8520,Municipi,43016,"Arboç, l'",2021,gener-març,30,442.4
8521,Municipi,17009,Arbúcies,2021,gener-març,45,419.84
8522,Municipi,8006,Arenys de Mar,2021,gener-març,103,711.32
8523,Municipi,8007,Arenys de Munt,2021,gener-març,48,607.46
8526,Municipi,8009,Argentona,2021,gener-març,48,808.47
8528,Municipi,8010,Artés,2021,gener-març,37,412.82
8529,Municipi,25034,Artesa de Segre,2021,gener-març,9,302.78
8530,Municipi,8011,Avià,2021,gener-març,14,385.0
8531,Municipi,8012,Avinyó,2021,gener-març,9,412.22
8534,Municipi,8015,Badalona,2021,gener-març,977,733.79
8535,Municipi,8904,Badia del Vallès,2021,gener-març,8,304.71
8536,Municipi,8016,Bagà,2021,gener-març,7,339.29
8538,Municipi,25040,Balaguer,2021,gener-març,62,385.18
8539,Municipi,8017,Balenyà,2021,gener-març,16,546.56
8540,Municipi,8018,Balsareny,2021,gener-març,12,445.83
8542,Municipi,17015,Banyoles,2021,gener-març,116,553.97
8543,Municipi,8035,Calella,2021,gener-març,141,575.91
8545,Municipi,8038,Callús,2021,gener-març,16,401.55
8546,Municipi,17034,Calonge i Sant Antoni,2021,gener-març,42,693.73
8548,Municipi,43903,Camarles,2021,gener-març,7,345.71
8549,Municipi,43038,Cambrils,2021,gener-març,194,572.99
8551,Municipi,17036,Campdevànol,2021,gener-març,8,360.2
8555,Municipi,8040,Canet de Mar,2021,gener-març,87,674.57
8556,Municipi,43907,"Canonja, la",2021,gener-març,10,383.8
8557,Municipi,8041,Canovelles,2021,gener-març,49,616.94
8560,Municipi,8043,Canyelles,2021,gener-març,9,905.56
8563,Municipi,8044,Capellades,2021,gener-març,26,484.33
8565,Municipi,8046,Cardedeu,2021,gener-març,125,682.85
8566,Municipi,8047,Cardona,2021,gener-març,24,340.2
8567,Municipi,17044,Cassà de la Selva,2021,gener-març,54,550.74
8571,Municipi,8051,Castellar del Vallès,2021,gener-març,61,703.28
8572,Municipi,8053,Castellbell i el Vilar,2021,gener-març,15,408.61
8573,Municipi,8054,Castellbisbal,2021,gener-març,41,777.56
8574,Municipi,8055,Castellcir,2021,gener-març,6,645.83
8576,Municipi,8056,Castelldefels,2021,gener-març,438,944.85
8577,Municipi,8058,Castellet i la Gornal,2021,gener-març,9,572.78
8578,Municipi,17046,Castellfollit de la Roca,2021,gener-març,6,270.66
8579,Municipi,8061,Castellgalí,2021,gener-març,8,678.75
8581,Municipi,17047,Castelló d'Empúries,2021,gener-març,45,536.29
8583,Municipi,17048,Castell-Platja d'Aro,2021,gener-març,47,655.34
8585,Municipi,8064,Castellterçol,2021,gener-març,18,547.22
8587,Municipi,8065,Castellví de la Marca,2021,gener-març,6,557.5
8589,Municipi,43043,"Catllar, el",2021,gener-març,9,523.89
8591,Municipi,43092,Mont-roig del Camp,2021,gener-març,67,498.26
8593,Municipi,43093,Móra d'Ebre,2021,gener-març,14,366.46
8594,Municipi,43094,Móra la Nova,2021,gener-març,9,288.33
8595,Municipi,43095,"Morell, el",2021,gener-març,19,452.63
8599,Municipi,8140,Navarcles,2021,gener-març,26,448.63
8600,Municipi,8141,Navàs,2021,gener-març,26,441.77
8601,Municipi,17111,Navata,2021,gener-març,9,712.78
8606,Municipi,8143,Òdena,2021,gener-març,11,475.12
8610,Municipi,8147,Olesa de Montserrat,2021,gener-març,110,529.98
8612,Municipi,8148,Olivella,2021,gener-març,11,1137.27
8614,Municipi,17114,Olot,2021,gener-març,240,434.22
8615,Municipi,8144,Olvan,2021,gener-març,6,444.17
8619,Municipi,8153,Òrrius,2021,gener-març,7,707.14
8622,Municipi,8155,Palafolls,2021,gener-març,39,547.1
8623,Municipi,17117,Palafrugell,2021,gener-març,133,477.23
8624,Municipi,17118,Palamós,2021,gener-març,94,566.71
8628,Municipi,17120,Palau-saverdera,2021,gener-març,7,649.7
8629,Municipi,8156,Palau-solità i Plegamans,2021,gener-març,32,774.84
8631,Municipi,8157,Pallejà,2021,gener-març,51,758.2
8632,Municipi,8905,"Palma de Cervelló, la",2021,gener-març,22,642.23
8634,Municipi,17124,Pals,2021,gener-març,6,1004.17
8635,Municipi,8158,"Papiol, el",2021,gener-març,8,721.88
8637,Municipi,8159,Parets del Vallès,2021,gener-març,64,713.16
8642,Municipi,17132,Peralada,2021,gener-març,10,592.5
8644,Municipi,8161,Piera,2021,gener-març,54,514.34
8645,Municipi,8163,Pineda de Mar,2021,gener-març,182,531.34
8646,Municipi,43108,"Pla de Santa Maria, el",2021,gener-març,13,383.05
8647,Municipi,8164,"Pla del Penedès, el",2021,gener-març,6,470.0
8653,Municipi,8166,"Pobla de Lillet, la",2021,gener-març,10,354.0
8654,Municipi,43109,"Pobla de Mafumet, la",2021,gener-març,14,475.71
8656,Municipi,43111,"Pobla de Montornès, la",2021,gener-març,11,606.36
8657,Municipi,25171,"Pobla de Segur, la",2021,gener-març,12,343.75
8659,Municipi,8167,Polinyà,2021,gener-març,33,613.82
8663,Municipi,8182,"Pont de Vilomara i Rocafort, el",2021,gener-març,12,546.67
8665,Municipi,25172,Ponts,2021,gener-març,6,300.0
8666,Municipi,17137,Porqueres,2021,gener-març,16,596.56
8669,Municipi,17138,Portbou,2021,gener-març,9,308.89
8673,Municipi,8169,"Prat de Llobregat, el",2021,gener-març,241,714.73
8679,Municipi,8230,Premià de Dalt,2021,gener-març,34,1000.65
8680,Municipi,8172,Premià de Mar,2021,gener-març,145,731.53
8681,Municipi,17139,"Preses, les",2021,gener-març,6,398.26
8682,Municipi,17141,Puigcerdà,2021,gener-març,71,509.86
8685,Municipi,8175,Puig-reig,2021,gener-març,21,412.38
8688,Municipi,17142,Quart,2021,gener-març,12,706.25
8691,Municipi,8178,Rajadell,2021,gener-març,6,430.0
8693,Municipi,43123,Reus,2021,gener-març,598,463.82
8698,Municipi,17145,Ribes de Freser,2021,gener-març,8,520.53
8699,Municipi,17146,Riells i Viabrea,2021,gener-març,7,614.29
8701,Municipi,17147,Ripoll,2021,gener-març,91,386.33
8702,Municipi,8180,Ripollet,2021,gener-març,137,601.32
8703,Municipi,17148,Riudarenes,2021,gener-març,8,899.38
8707,Municipi,17150,Riudellots de la Selva,2021,gener-març,6,616.67
8708,Municipi,43129,Riudoms,2021,gener-març,23,434.65
8710,Municipi,8181,"Roca del Vallès, la",2021,gener-març,41,680.49
8712,Municipi,43131,Roda de Berà,2021,gener-març,48,541.15
8713,Municipi,8183,Roda de Ter,2021,gener-març,41,457.17
8715,Municipi,43133,Roquetes,2021,gener-març,43,401.65
8716,Municipi,17152,Roses,2021,gener-març,115,482.13
8717,Municipi,25189,Rosselló,2021,gener-març,10,331.36
8718,Municipi,8184,Rubí,2021,gener-març,318,643.29
8719,Municipi,8187,Sabadell,2021,gener-març,1032,669.27
8722,Municipi,8191,Sallent,2021,gener-març,14,366.32
8724,Municipi,43905,Salou,2021,gener-març,259,497.84
8725,Municipi,17155,Salt,2021,gener-març,144,473.39
8726,Municipi,8194,Sant Adrià de Besòs,2021,gener-març,126,705.48
8727,Municipi,8196,Sant Andreu de la Barca,2021,gener-març,82,595.53
8728,Municipi,8197,Sant Andreu de Llavaneres,2021,gener-març,69,1014.51
8731,Municipi,8198,Sant Antoni de Vilamajor,2021,gener-març,27,763.89
8732,Municipi,8200,Sant Boi de Llobregat,2021,gener-març,296,681.14
8734,Municipi,43136,"Ràpita, la",2021,gener-març,89,335.44
8735,Municipi,8203,Sant Cebrià de Vallalta,2021,gener-març,10,559.0
8736,Municipi,8202,Sant Celoni,2021,gener-març,136,572.17
8737,Municipi,8204,Sant Climent de Llobregat,2021,gener-març,21,798.81
8739,Municipi,8205,Sant Cugat del Vallès,2021,gener-març,632,1150.5
8741,Municipi,8207,Sant Esteve de Palautordera,2021,gener-març,9,816.67
8742,Municipi,8208,Sant Esteve Sesrovires,2021,gener-març,35,712.02
8744,Municipi,8210,Sant Feliu de Codines,2021,gener-març,55,571.64
8745,Municipi,17160,Sant Feliu de Guíxols,2021,gener-març,119,538.73
8746,Municipi,8211,Sant Feliu de Llobregat,2021,gener-març,186,769.66
8747,Municipi,17161,Sant Feliu de Pallerols,2021,gener-març,8,371.88
8749,Municipi,8209,Sant Fost de Campsentelles,2021,gener-març,15,827.38
8750,Municipi,8213,Sant Fruitós de Bages,2021,gener-març,41,519.51
8751,Municipi,17163,Sant Gregori,2021,gener-març,16,767.19
8752,Municipi,25192,Sant Guim de Freixenet,2021,gener-març,7,336.43
8753,Municipi,17164,Sant Hilari Sacalm,2021,gener-març,24,391.48
8754,Municipi,8215,Sant Hipòlit de Voltregà,2021,gener-març,9,480.56
8755,Municipi,8193,Sant Iscle de Vallalta,2021,gener-març,7,660.71
8757,Municipi,17165,Sant Jaume de Llierca,2021,gener-març,6,477.5
8758,Municipi,43137,Sant Jaume dels Domenys,2021,gener-març,9,526.67
8759,Municipi,43902,Sant Jaume d'Enveja,2021,gener-març,16,363.13
8760,Municipi,17167,Sant Joan de les Abadesses,2021,gener-març,18,382.78
8762,Municipi,8218,Sant Joan de Vilatorrada,2021,gener-març,24,449.0
8763,Municipi,8217,Sant Joan Despí,2021,gener-març,122,791.77
8764,Municipi,17185,Sant Joan les Fonts,2021,gener-març,8,470.25
8766,Municipi,17169,Sant Julià de Ramis,2021,gener-març,9,744.44
8767,Municipi,8220,Sant Julià de Vilatorta,2021,gener-març,17,646.35
8769,Municipi,8221,Sant Just Desvern,2021,gener-març,131,1101.66
8772,Municipi,8222,Sant Llorenç d'Hortons,2021,gener-març,7,514.91
8773,Municipi,8223,Sant Llorenç Savall,2021,gener-març,10,442.5
8774,Municipi,8224,Sant Martí de Centelles,2021,gener-març,16,521.25
8776,Municipi,8227,Sant Martí Sarroca,2021,gener-març,14,565.0
8781,Municipi,8231,Sant Pere de Ribes,2021,gener-març,126,704.6
8782,Municipi,8232,Sant Pere de Riudebitlles,2021,gener-març,9,413.33
8783,Municipi,8233,Sant Pere de Torelló,2021,gener-març,11,430.16
8784,Municipi,8234,Sant Pere de Vilamajor,2021,gener-març,13,778.15
8785,Municipi,17178,Sant Pere Pescador,2021,gener-març,15,421.33
8787,Municipi,8235,Sant Pol de Mar,2021,gener-març,33,947.18
8788,Municipi,8236,Sant Quintí de Mediona,2021,gener-març,10,488.0
8789,Municipi,8237,Sant Quirze de Besora,2021,gener-març,6,330.83
8790,Municipi,8238,Sant Quirze del Vallès,2021,gener-març,67,828.27
8792,Municipi,8240,Sant Sadurní d'Anoia,2021,gener-març,61,585.33
8795,Municipi,8262,Sant Vicenç de Castellet,2021,gener-març,67,447.71
8796,Municipi,8264,Sant Vicenç de Montalt,2021,gener-març,31,1318.24
8798,Municipi,8263,Sant Vicenç dels Horts,2021,gener-març,65,670.46
8799,Municipi,43138,Santa Bàrbara,2021,gener-març,18,316.42
8801,Municipi,8244,Santa Coloma de Cervelló,2021,gener-març,21,725.24
8802,Municipi,17180,Santa Coloma de Farners,2021,gener-març,69,505.41
8803,Municipi,8245,Santa Coloma de Gramenet,2021,gener-març,465,583.72
8804,Municipi,43139,Santa Coloma de Queralt,2021,gener-març,16,383.13
8805,Municipi,17181,Santa Cristina d'Aro,2021,gener-març,13,849.62
8806,Municipi,8246,Santa Eugènia de Berga,2021,gener-març,6,485.0
8808,Municipi,8248,Santa Eulàlia de Ronçana,2021,gener-març,10,867.5
8809,Municipi,8250,Santa Margarida de Montbui,2021,gener-març,30,472.32
8810,Municipi,8251,Santa Margarida i els Monjos,2021,gener-març,37,409.3
8814,Municipi,8259,Santa Maria de Palautordera,2021,gener-març,36,655.83
8816,Municipi,43140,Santa Oliva,2021,gener-març,7,816.43
8818,Municipi,8260,Santa Perpètua de Mogoda,2021,gener-març,76,668.07
8819,Municipi,8261,Santa Susanna,2021,gener-març,15,1125.36
8820,Municipi,8192,Santpedor,2021,gener-març,32,552.78
8822,Municipi,17186,Sarrià de Ter,2021,gener-març,12,700.0
8825,Municipi,43145,"Selva del Camp, la",2021,gener-març,15,500.76
8826,Municipi,43044,"Sénia, la",2021,gener-març,8,243.75
8828,Municipi,8267,Sentmenat,2021,gener-març,41,602.29
8829,Municipi,17190,Serinyà,2021,gener-març,6,597.5
8832,Municipi,25203,"Seu d'Urgell, la",2021,gener-març,125,413.14
8834,Municipi,17193,Sils,2021,gener-març,22,585.36
8835,Municipi,8270,Sitges,2021,gener-març,242,1044.01
8837,Municipi,43147,Solivella,2021,gener-març,7,446.43
8838,Municipi,25207,Solsona,2021,gener-març,73,344.45
8841,Municipi,25209,Sort,2021,gener-març,26,353.65
8845,Municipi,8274,Súria,2021,gener-març,22,436.82
8848,Municipi,8278,Taradell,2021,gener-març,34,573.97
8849,Municipi,43148,Tarragona,2021,gener-març,896,515.21
8850,Municipi,25217,Tàrrega,2021,gener-març,139,346.76
8852,Municipi,8281,Teià,2021,gener-març,20,1068.41
8854,Municipi,8279,Terrassa,2021,gener-març,1185,575.69
8855,Municipi,8282,Tiana,2021,gener-març,22,998.88
8858,Municipi,8283,Tona,2021,gener-març,34,513.24
8859,Municipi,25223,Torà,2021,gener-març,6,308.33
8860,Municipi,8284,Tordera,2021,gener-març,59,510.17
8861,Municipi,8285,Torelló,2021,gener-març,76,432.83
8864,Municipi,8286,"Torre de Claramunt, la",2021,gener-març,9,612.22
8866,Municipi,43153,Torredembarra,2021,gener-març,151,537.55
8867,Municipi,25228,Torrefarrera,2021,gener-març,15,508.33
8870,Municipi,8287,Torrelavit,2021,gener-març,10,572.5
8871,Municipi,8288,Torrelles de Foix,2021,gener-març,11,418.27
8872,Municipi,8289,Torrelles de Llobregat,2021,gener-març,22,759.05
8874,Municipi,17198,Torroella de Fluvià,2021,gener-març,8,831.25
8875,Municipi,17199,Torroella de Montgrí,2021,gener-març,53,531.7
8878,Municipi,43155,Tortosa,2021,gener-març,188,377.79
8879,Municipi,17202,Tossa de Mar,2021,gener-març,28,509.47
8880,Municipi,25234,Tremp,2021,gener-març,16,318.88
8882,Municipi,8290,Ullastrell,2021,gener-març,6,935.83
8884,Municipi,43156,Ulldecona,2021,gener-març,13,262.69
8885,Municipi,8291,Vacarisses,2021,gener-març,10,794.8
8889,Municipi,17207,"Vall d'en Bas, la",2021,gener-març,8,543.75
8893,Municipi,25240,Vallfogona de Balaguer,2021,gener-març,7,341.43
8894,Municipi,8294,Vallgorguina,2021,gener-març,6,806.67
8895,Municipi,8295,Vallirana,2021,gener-març,54,722.87
8898,Municipi,8296,Vallromanes,2021,gener-març,8,993.75
8899,Municipi,43161,Valls,2021,gener-març,155,421.54
8901,Municipi,43162,Vandellòs i l'Hospitalet de l'Infant,2021,gener-març,29,470.86
8902,Municipi,43163,"Vendrell, el",2021,gener-març,225,520.71
8907,Municipi,8298,Vic,2021,gener-març,319,542.02
8909,Municipi,17213,Vidreres,2021,gener-març,19,627.11
8910,Municipi,25243,Vielha e Mijaran,2021,gener-març,9,565.56
8916,Municipi,8301,Viladecans,2021,gener-març,237,734.23
8917,Municipi,8300,Viladecavalls,2021,gener-març,11,786.94
8920,Municipi,17221,Vilafant,2021,gener-març,16,648.13
8921,Municipi,8305,Vilafranca del Penedès,2021,gener-març,264,537.61
8926,Municipi,43166,Vilallonga del Camp,2021,gener-març,12,423.77
8927,Municipi,17226,Vilamalla,2021,gener-març,7,538.57
8934,Municipi,8302,Vilanova del Camí,2021,gener-març,44,466.41
8935,Municipi,8902,Vilanova del Vallès,2021,gener-març,31,744.61
8937,Municipi,8307,Vilanova i la Geltrú,2021,gener-març,333,634.89
8941,Municipi,43171,Vila-seca,2021,gener-març,89,497.27
8942,Municipi,8214,Vilassar de Dalt,2021,gener-març,45,799.73
8943,Municipi,8219,Vilassar de Mar,2021,gener-març,121,887.04
8947,Municipi,17233,Vilobí d'Onyar,2021,gener-març,9,580.56
8949,Municipi,43178,Vinyols i els Arcs,2021,gener-març,12,519.64
8951,Municipi,8001,Abrera,2021,abril-juny,31,639.52
8952,Municipi,25003,Agramunt,2021,abril-juny,52,325.96
8955,Municipi,8014,Aiguafreda,2021,abril-juny,11,708.64
8957,Municipi,25038,Aitona,2021,abril-juny,21,354.77
8958,Municipi,25007,Albatàrrec,2021,abril-juny,8,374.38
8961,Municipi,43002,Albinyana,2021,abril-juny,6,521.67
8963,Municipi,43004,Alcanar,2021,abril-juny,19,406.32
8965,Municipi,17049,Celrà,2021,gener-març,14,598.57
8966,Municipi,8067,Centelles,2021,gener-març,35,570.78
8968,Municipi,8266,Cerdanyola del Vallès,2021,gener-març,202,752.48
8969,Municipi,8068,Cervelló,2021,gener-març,26,761.26
8970,Municipi,25072,Cervera,2021,gener-març,42,332.94
8976,Municipi,8252,Barberà del Vallès,2021,gener-març,93,672.28
8977,Municipi,8019,Barcelona,2021,gener-març,14399,905.39
8980,Municipi,8020,Begues,2021,gener-març,34,1012.65
8981,Municipi,17013,Begur,2021,gener-març,8,696.25
8986,Municipi,25050,Bellpuig,2021,gener-març,16,357.63
8988,Municipi,25051,Bellver de Cerdanya,2021,gener-març,14,485.0
8992,Municipi,8022,Berga,2021,gener-març,93,403.67
8993,Municipi,17019,Besalú,2021,gener-març,9,488.89
8995,Municipi,8023,Bigues i Riells,2021,gener-març,25,685.57
8996,Municipi,43028,"Bisbal del Penedès, la",2021,gener-març,10,648.5
8997,Municipi,17022,"Bisbal d'Empordà, la",2021,gener-març,60,442.31
9000,Municipi,17023,Blanes,2021,gener-març,225,501.92
9005,Municipi,25058,"Borges Blanques, les",2021,gener-març,14,344.44
9006,Municipi,43031,"Borges del Camp, les",2021,gener-març,9,416.11
9012,Municipi,17027,Breda,2021,gener-març,23,485.87
9013,Municipi,8025,"Bruc, el",2021,gener-març,10,702.6
9019,Municipi,43036,Cabra del Camp,2021,gener-març,6,426.5
9021,Municipi,8029,Cabrera de Mar,2021,gener-març,23,919.22
9022,Municipi,8030,Cabrils,2021,gener-març,21,1154.81
9023,Municipi,17032,Cadaqués,2021,gener-març,16,655.42
9024,Municipi,8031,Calaf,2021,gener-març,13,343.98
9025,Municipi,43037,Calafell,2021,gener-març,180,598.4
9027,Municipi,17033,Caldes de Malavella,2021,gener-març,30,747.55
9028,Municipi,8033,Caldes de Montbui,2021,gener-març,100,693.58
9029,Municipi,8032,Caldes d'Estrac,2021,gener-març,24,913.13
9031,Municipi,8051,Castellar del Vallès,2021,juliol-setembre,49,687.32
9032,Municipi,8053,Castellbell i el Vilar,2021,juliol-setembre,16,426.25
9033,Municipi,8054,Castellbisbal,2021,juliol-setembre,41,767.44
9036,Municipi,8056,Castelldefels,2021,juliol-setembre,358,998.12
9043,Municipi,17047,Castelló d'Empúries,2021,juliol-setembre,30,515.44
9045,Municipi,17048,Castell-Platja d'Aro,2021,juliol-setembre,38,680.22
9047,Municipi,8064,Castellterçol,2021,juliol-setembre,19,523.42
9050,Municipi,8066,Castellví de Rosanes,2021,juliol-setembre,6,825.0
9051,Municipi,43043,"Catllar, el",2021,juliol-setembre,11,561.82
9052,Municipi,17189,"Cellera de Ter, la",2021,juliol-setembre,10,510.5
9053,Municipi,17049,Celrà,2021,juliol-setembre,20,625.76
9054,Municipi,8067,Centelles,2021,juliol-setembre,36,539.86
9056,Municipi,8266,Cerdanyola del Vallès,2021,juliol-setembre,267,727.84
9057,Municipi,8068,Cervelló,2021,juliol-setembre,38,798.95
9058,Municipi,25072,Cervera,2021,juliol-setembre,37,359.05
9061,Municipi,8069,Collbató,2021,juliol-setembre,12,1064.17
9065,Municipi,43047,Constantí,2021,juliol-setembre,17,380.29
9067,Municipi,8072,Corbera de Llobregat,2021,juliol-setembre,64,738.0
9071,Municipi,8073,Cornellà de Llobregat,2021,juliol-setembre,419,705.17
9072,Municipi,17056,Cornellà del Terri,2021,juliol-setembre,6,808.33
9074,Municipi,43050,Creixell,2021,juliol-setembre,17,592.35
9076,Municipi,8074,Cubelles,2021,juliol-setembre,61,705.05
9078,Municipi,43051,Cunit,2021,juliol-setembre,47,552.03
9081,Municipi,43901,Deltebre,2021,juliol-setembre,42,352.05
9082,Municipi,8075,Dosrius,2021,juliol-setembre,17,773.41
9084,Municipi,17062,"Escala, l'",2021,juliol-setembre,39,588.85
9085,Municipi,8076,Esparreguera,2021,juliol-setembre,75,606.17
9088,Municipi,8077,Esplugues de Llobregat,2021,juliol-setembre,204,839.49
9091,Municipi,8254,"Esquirol, l'",2021,juliol-setembre,7,557.14
9094,Municipi,43055,Falset,2021,juliol-setembre,12,387.5
9098,Municipi,17066,Figueres,2021,juliol-setembre,326,487.42
9108,Municipi,17902,Forallac,2021,juliol-setembre,6,500.0
9112,Municipi,8086,"Franqueses del Vallès, les",2021,juliol-setembre,92,645.3
9120,Municipi,8088,"Garriga, la",2021,juliol-setembre,103,763.85
9122,Municipi,17077,Garriguella,2021,juliol-setembre,6,560.83
9123,Municipi,8089,Gavà,2021,juliol-setembre,185,899.75
9124,Municipi,8091,Gelida,2021,juliol-setembre,50,546.2
9127,Municipi,17079,Girona,2021,juliol-setembre,1044,639.97
9128,Municipi,8092,Gironella,2021,juliol-setembre,22,394.09
9131,Municipi,8094,"Granada, la",2021,juliol-setembre,6,519.68
9134,Municipi,8096,Granollers,2021,juliol-setembre,409,677.46
9141,Municipi,25110,Guissona,2021,juliol-setembre,35,374.54
9144,Municipi,8101,"Hospitalet de Llobregat, l'",2021,juliol-setembre,1450,711.91
9145,Municipi,8162,"Hostalets de Pierola, els",2021,juliol-setembre,13,672.85
9146,Municipi,17083,Hostalric,2021,juliol-setembre,21,552.62
9147,Municipi,8102,Igualada,2021,juliol-setembre,219,477.9
9151,Municipi,17086,"Jonquera, la",2021,juliol-setembre,24,466.46
9156,Municipi,25122,Linyola,2021,juliol-setembre,11,402.73
9159,Municipi,8105,"Llagosta, la",2021,juliol-setembre,44,615.12
9160,Municipi,17089,Llagostera,2021,juliol-setembre,47,498.74
9161,Municipi,17092,Llançà,2021,juliol-setembre,25,575.6
9162,Municipi,25120,Lleida,2021,juliol-setembre,720,501.09
9164,Municipi,8107,Lliçà d'Amunt,2021,juliol-setembre,20,884.1
9165,Municipi,8108,Lliçà de Vall,2021,juliol-setembre,6,813.33
9166,Municipi,8106,Llinars del Vallès,2021,juliol-setembre,59,629.81
9167,Municipi,17094,Llívia,2021,juliol-setembre,9,542.22
9169,Municipi,43074,Llorenç del Penedès,2021,juliol-setembre,7,846.43
9170,Municipi,17095,Lloret de Mar,2021,juliol-setembre,120,528.06
9173,Municipi,17103,Maçanet de la Selva,2021,juliol-setembre,23,569.58
9175,Municipi,8110,Malgrat de Mar,2021,juliol-setembre,64,576.18
9177,Municipi,8112,Manlleu,2021,juliol-setembre,70,433.35
9178,Municipi,8113,Manresa,2021,juliol-setembre,478,465.44
9180,Municipi,8114,Martorell,2021,juliol-setembre,91,595.21
9181,Municipi,8115,Martorelles,2021,juliol-setembre,11,655.45
9188,Municipi,8118,"Masnou, el",2021,juliol-setembre,136,787.35
9190,Municipi,8119,Masquefa,2021,juliol-setembre,26,697.5
9193,Municipi,8120,Matadepera,2021,juliol-setembre,32,906.63
9194,Municipi,8121,Mataró,2021,juliol-setembre,669,642.14
9198,Municipi,8138,Moià,2021,juliol-setembre,43,522.58
9199,Municipi,8123,Molins de Rei,2021,juliol-setembre,95,745.59
9200,Municipi,25137,Mollerussa,2021,juliol-setembre,95,410.89
9202,Municipi,8124,Mollet del Vallès,2021,juliol-setembre,174,632.7
9204,Municipi,8127,Monistrol de Montserrat,2021,juliol-setembre,20,446.32
9206,Municipi,43086,Montblanc,2021,juliol-setembre,24,424.45
9207,Municipi,43088,Montbrió del Camp,2021,juliol-setembre,11,476.36
9208,Municipi,8125,Montcada i Reixac,2021,juliol-setembre,93,666.53
9211,Municipi,8131,Montesquiu,2021,juliol-setembre,9,440.56
9214,Municipi,8126,Montgat,2021,juliol-setembre,69,756.98
9218,Municipi,8135,Montmeló,2021,juliol-setembre,34,627.36
9219,Municipi,8136,Montornès del Vallès,2021,juliol-setembre,40,672.41
9221,Municipi,43092,Mont-roig del Camp,2021,juliol-setembre,35,532.0
9223,Municipi,43093,Móra d'Ebre,2021,juliol-setembre,20,365.75
9224,Municipi,43094,Móra la Nova,2021,juliol-setembre,9,318.33
9225,Municipi,43095,"Morell, el",2021,juliol-setembre,16,464.69
9227,Municipi,25025,Naut Aran,2021,juliol-setembre,6,570.83
9228,Municipi,8140,Navarcles,2021,juliol-setembre,22,479.68
9229,Municipi,8141,Navàs,2021,juliol-setembre,24,400.84
9230,Municipi,17111,Navata,2021,juliol-setembre,7,771.43
9234,Municipi,8143,Òdena,2021,juliol-setembre,11,447.27
9237,Municipi,8147,Olesa de Montserrat,2021,juliol-setembre,92,551.89
9242,Municipi,17114,Olot,2021,juliol-setembre,185,461.77
9251,Municipi,8155,Palafolls,2021,juliol-setembre,23,518.79
9252,Municipi,17117,Palafrugell,2021,juliol-setembre,75,483.21
9253,Municipi,17118,Palamós,2021,juliol-setembre,55,557.55
9256,Municipi,8156,Palau-solità i Plegamans,2021,juliol-setembre,39,802.87
9258,Municipi,8157,Pallejà,2021,juliol-setembre,22,783.76
9259,Municipi,8905,"Palma de Cervelló, la",2021,juliol-setembre,21,706.43
9260,Municipi,17124,Pals,2021,juliol-setembre,6,778.33
9261,Municipi,8158,"Papiol, el",2021,juliol-setembre,20,617.75
9262,Municipi,8159,Parets del Vallès,2021,juliol-setembre,62,713.61
9268,Municipi,17132,Peralada,2021,juliol-setembre,16,676.56
9270,Municipi,8161,Piera,2021,juliol-setembre,59,586.68
9271,Municipi,8163,Pineda de Mar,2021,juliol-setembre,131,566.89
9273,Municipi,43108,"Pla de Santa Maria, el",2021,juliol-setembre,6,391.65
9274,Municipi,8164,"Pla del Penedès, el",2021,juliol-setembre,8,453.07
