CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
4309570005,Ajuntament del Morell,1998,2293,,
4304240003,Ajuntament de Castellvell del Camp,2016,2851,,
2510440003,Ajuntament de Granyena de Segarra,2001,155,,
2501430008,Ajuntament d'Alfés,2019,312,,
7000640003,Entitat Municipal Descentralitzada d'Àreu,1990,125,,
0827850006,Ajuntament de Taradell,1990,4557,,
2525210007,Ajuntament de Vila-sana,2015,718,,
0823780001,Ajuntament de Sant Quirze de Besora,2008,2215,1081,1134
1704860009,Ajuntament de Castell-Platja d'Aro,2002,7691,0,0
0821660009,Ajuntament de Sant Jaume de Frontanyà,2015,26,,
2502730008,Ajuntament d'Anglesola,1995,1230,,
1700250006,Ajuntament d'Aiguaviva,1991,354,,
8101200000,Consell Comarcal del Baix Penedès,2018,102409,51342,51067
4303500000,Ajuntament de Cabacés,2000,339,,
1701230008,Ajuntament d'Avinyonet de Puigventós,2011,1509,768,741
4307700000,Ajuntament de Mas de Barberans,1995,747,,
1720820002,Ajuntament de la Vall de Bianya,2014,1305,657,648
4305680001,Ajuntament de la Fatarella,2019,941,,
4313590004,Ajuntament de Salomó,1998,383,,
0821070005,Ajuntament de Sant Feliu de Codines,1994,3897,,
8001760009,Diputació de Girona,2019,771044,,
7004350006,Entitat Municipal Descentralitzada de Sucs,1995,653,,
0818030008,Ajuntament de Ripollet,2009,37088,,
4304190004,Ajuntament de Caseres,2005,318,154,164
1722140003,Ajuntament de Vilafant,2002,4359,0,0
2512660009,Ajuntament de Llavorsí,1991,268,,
0809960009,Ajuntament de Guardiola de Berguedà,1993,1245,,
2514840003,Ajuntament d'Odèn,1994,300,,
2515430008,Ajuntament dels Omells de na Gaia,2020,130,,
1718510007,Ajuntament de Sant Joan les Fonts,2021,3050,1547,1503
2514970005,Ajuntament d'Oliana,2016,1844,,
1722400000,Ajuntament de Vilallonga de Ter,2021,386,209,177
1717880001,Ajuntament de Sant Pere Pescador,1995,1413,,
4315360009,Ajuntament de Torredembarra,2017,15726,7667,8059
2519190004,Ajuntament de Sanaüja,2011,460,236,224
1711810007,Ajuntament de Palamós,2009,18161,,
0810750006,Ajuntament de Lliçà d'Amunt,2021,15673,7992,7681
8102340003,Consell Comarcal de la Noguera,2000,34727,,
0807900000,Ajuntament de l'Estany,2017,405,201,204
0810810007,Ajuntament de Lliçà de Vall,2012,6394,,
4390390004,Ajuntament de Camarles,2009,3555,,
