DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
25/02/2011,2,Alt Empordà,170887,Lladó,0.00,0.10,0.05,0.10
25/02/2011,7,Bages,80121,Avinyó,0.80,0.34,0.00,1.14
25/02/2011,7,Bages,80180,Balsareny,0.00,0.13,0.00,0.13
25/02/2011,6,Anoia,81705,"Prats de Rei, els",0.00,0.63,0.00,0.63
25/02/2011,37,Terra Alta,431750,Vilalba dels Arcs,6.20,5.00,0.70,11.20
26/02/2011,7,Bages,80478,Cardona,0.00,0.12,0.00,0.12
26/02/2011,16,Conca de Barberà,431476,Solivella,0.06,0.54,0.00,0.60
26/02/2011,18,Garrigues,250582,"Borges Blanques, les",0.00,1.00,0.60,1.00
26/02/2011,22,Montsià,430770,Mas de Barberans,0.00,0.27,0.00,0.27
27/02/2011,10,Baix Empordà,170046,Albons,0.00,0.10,0.00,0.10
27/02/2011,3,Alt Penedès,82732,Subirats,0.00,0.07,0.00,0.07
27/02/2011,4,Alt Urgell,251850,Ribera d'Urgellet,0.00,0.02,0.00,0.02
27/02/2011,25,Pallars Jussà,252347,Tremp,6.40,7.70,5.10,14.10
28/02/2011,6,Anoia,80214,Bellprat,0.00,0.35,0.00,0.35
28/02/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,0.00,0.00,0.00
28/02/2011,33,Segrià,250077,Albatàrrec,0.00,0.20,0.00,0.20
01/03/2011,21,Maresme,80095,Argentona,1.03,0.00,0.00,1.03
01/03/2011,42,Moianès,80790,"Estany, l'",0.23,0.88,0.00,1.11
01/03/2011,7,Bages,81419,Navàs,0.00,0.02,0.00,0.02
01/03/2011,15,Cerdanya,251790,Prullans,0.40,0.22,0.00,0.62
01/03/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.40,0.30,0.40
02/03/2011,2,Alt Empordà,170669,Figueres,0.00,0.80,0.00,0.80
02/03/2011,2,Alt Empordà,170669,Figueres,0.14,0.00,0.00,0.14
02/03/2011,11,Baix Llobregat,81580,"Papiol, el",0.00,0.08,0.00,0.08
02/03/2011,7,Bages,80983,Sant Salvador de Guardiola,0.00,0.03,0.00,0.03
02/03/2011,3,Alt Penedès,81458,Olèrdola,0.00,0.33,0.00,0.33
02/03/2011,6,Anoia,80636,Castellolí,0.00,0.11,0.00,0.11
02/03/2011,33,Segrià,250138,Alfarràs,0.00,0.70,0.16,0.70
03/03/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,1.60,0.00,1.60
04/03/2011,25,Pallars Jussà,251615,Conca de Dalt,0.00,0.90,0.00,0.90
06/03/2011,20,Gironès,171557,Salt,0.00,0.00,0.00,0.00
07/03/2011,3,Alt Penedès,82270,Sant Martí Sarroca,0.00,0.07,0.05,0.07
07/03/2011,26,Pallars Sobirà,250390,Baix Pallars,0.00,0.50,0.00,0.50
07/03/2011,23,Noguera,250220,Alòs de Balaguer,0.00,2.70,0.00,2.70
07/03/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.05,0.00,0.05
08/03/2011,40,Vallès Occidental,81846,Rubí,0.00,0.06,0.00,0.06
09/03/2011,20,Gironès,171864,Sarrià de Ter,0.16,0.00,0.00,0.16
09/03/2011,17,Garraf,81483,Olivella,0.00,0.00,0.00,0.00
09/03/2011,37,Terra Alta,430483,Corbera d'Ebre,0.18,0.28,0.00,0.46
10/03/2011,16,Conca de Barberà,430862,Montblanc,0.00,1.61,0.30,1.61
11/03/2011,42,Moianès,82589,Santa Maria d'Oló,0.00,0.20,1.00,0.20
11/03/2011,38,Urgell,252173,Tàrrega,0.00,0.16,0.11,0.16
11/03/2011,25,Pallars Jussà,259046,Castell de Mur,0.40,4.30,0.30,4.70
11/03/2011,33,Segrià,252108,Soses,0.00,0.40,0.00,0.40
11/03/2011,33,Segrià,252108,Soses,0.00,0.30,0.00,0.30
19/03/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.09,0.00,0.09
20/03/2011,22,Montsià,430629,Freginals,0.00,0.50,0.00,0.50
21/03/2011,33,Segrià,251207,Lleida,0.00,0.15,0.00,0.15
23/03/2011,38,Urgell,252424,Verdú,0.00,0.23,0.00,0.23
23/03/2011,9,Baix Ebre,431554,Tortosa,0.00,0.00,0.00,0.00
24/03/2011,24,Osona,82541,"Esquirol, l'",0.00,0.60,0.00,0.60
25/03/2011,41,Vallès Oriental,82093,Sant Fost de Campsentelles,0.00,0.00,0.00,0.00
25/03/2011,25,Pallars Jussà,251155,Isona i Conca Dellà,0.00,0.70,0.00,0.70
25/03/2011,25,Pallars Jussà,251615,Conca de Dalt,0.00,0.80,0.00,0.80
29/03/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.00,0.00,0.00
31/03/2011,16,Conca de Barberà,431763,Vimbodí i Poblet,0.08,0.00,0.00,0.08
01/04/2011,36,Tarragonès,430430,"Catllar, el",0.00,0.13,0.00,0.13
01/04/2011,16,Conca de Barberà,430614,Forès,0.60,1.10,0.00,1.70
01/04/2011,38,Urgell,251459,Nalec,0.00,0.24,0.00,0.24
01/04/2011,33,Segrià,251333,Maials,0.20,0.40,0.00,0.60
02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.00,0.00,0.00
02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.27,0.00,0.27
02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.70,0.00,0.70
02/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.00,0.00,0.00
02/04/2011,9,Baix Ebre,431554,Tortosa,0.01,0.00,0.00,0.01
04/04/2011,8,Baix Camp,430075,"Aleixar, l'",0.00,0.12,0.00,0.12
05/04/2011,16,Conca de Barberà,430862,Montblanc,0.00,1.08,0.00,1.08
05/04/2011,37,Terra Alta,431750,Vilalba dels Arcs,0.17,0.00,0.09,0.17
06/04/2011,9,Baix Ebre,431554,Tortosa,0.01,0.00,0.00,0.01
08/04/2011,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",5.75,0.00,0.00,5.75
08/04/2011,3,Alt Penedès,82401,Sant Sadurní d'Anoia,0.00,0.10,0.00,0.10
08/04/2011,33,Segrià,252326,Torres de Segre,0.00,0.20,0.10,0.20
09/04/2011,9,Baix Ebre,439018,Deltebre,0.00,0.03,0.00,0.03
09/04/2011,33,Segrià,250117,Alcarràs,0.10,0.00,0.00,0.10
09/04/2011,33,Segrià,251312,Massalcoreig,0.00,0.12,0.10,0.12
10/04/2011,19,Garrotxa,171143,Olot,0.00,0.00,0.00,0.00
11/04/2011,41,Vallès Oriental,80462,Cardedeu,0.06,0.00,0.00,0.06
11/04/2011,12,Baix Penedès,431634,"Vendrell, el",0.00,0.00,0.00,0.00
11/04/2011,30,Ribera d'Ebre,431508,Tivissa,0.00,1.00,0.00,1.00
12/04/2011,2,Alt Empordà,171523,Roses,0.01,0.00,0.00,0.01
12/04/2011,2,Alt Empordà,170118,"Armentera, l'",0.01,0.00,0.00,0.01
12/04/2011,10,Baix Empordà,172327,Vilopriu,0.01,0.00,0.00,0.01
13/04/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,3.60,0.00,3.60
13/04/2011,40,Vallès Occidental,82520,Barberà del Vallès,0.00,0.00,0.00,0.00
13/04/2011,30,Ribera d'Ebre,430939,Móra d'Ebre,0.00,0.01,0.00,0.01
14/04/2011,33,Segrià,250143,Alfés,0.00,0.10,0.16,0.10
15/04/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.15,0.00,0.15
16/04/2011,21,Maresme,82613,Santa Susanna,0.00,0.08,0.00,0.08
16/04/2011,38,Urgell,250463,Belianes,0.00,0.34,0.00,0.34
16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.96,0.00,0.96
16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,0.03,0.00,0.03
16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,0.01,0.00,0.01
16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.00,0.00,0.00
16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.11,0.00,0.11
16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,0.04,0.00,0.04
16/04/2011,9,Baix Ebre,431042,"Perelló, el",0.00,0.08,0.00,0.08
16/04/2011,9,Baix Ebre,439060,"Ampolla, l'",0.00,0.00,0.00,0.00
17/04/2011,13,Barcelonès,80193,Barcelona,0.00,1.60,0.00,1.60
17/04/2011,37,Terra Alta,430483,Corbera d'Ebre,0.00,1.14,0.00,1.14
17/04/2011,33,Segrià,252108,Soses,0.00,0.50,0.25,0.50
18/04/2011,41,Vallès Oriental,80462,Cardedeu,0.00,0.00,0.00,0.00
18/04/2011,16,Conca de Barberà,431476,Solivella,0.30,0.40,0.60,0.70
19/04/2011,38,Urgell,252173,Tàrrega,0.00,2.98,0.05,2.98
19/04/2011,23,Noguera,250349,Artesa de Segre,0.00,0.30,0.01,0.30
19/04/2011,38,Urgell,250030,Agramunt,0.00,0.50,0.00,0.50
20/04/2011,40,Vallès Occidental,81803,Ripollet,0.00,0.06,0.00,0.06
20/04/2011,3,Alt Penedès,82877,Torrelavit,0.00,0.00,0.00,0.00
21/04/2011,3,Alt Penedès,82877,Torrelavit,0.00,0.02,0.00,0.02
21/04/2011,38,Urgell,251305,Maldà,0.00,0.30,0.00,0.30
27/04/2011,33,Segrià,251207,Lleida,0.00,0.10,0.00,0.10
28/04/2011,1,Alt Camp,430831,"Milà, el",0.00,0.04,0.00,0.04
01/05/2011,13,Barcelonès,80193,Barcelona,0.00,0.00,0.00,0.00
03/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.00,0.01,0.00,0.01
03/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.00,0.00,0.00,0.00
04/05/2011,30,Ribera d'Ebre,431251,Riba-roja d'Ebre,0.00,0.00,0.00,0.00
05/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,8.20,0.00,8.20
06/05/2011,20,Gironès,170792,Girona,0.05,0.00,0.00,0.05
