Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda,Tram de preus
Municipi,17012,Avinyonet de Puigventós,2022,gener - desembre,9,774.44,> 600 euros/mes
Municipi,08013,Avinyonet del Penedès,2022,gener - desembre,12,584.44,> 450 i <= 600 euros/mes
Municipi,08015,Badalona,2022,gener - desembre,3702,808.02,> 600 euros/mes
Municipi,08904,Badia del Vallès,2022,gener - desembre,57,282.63,<= 350 euros/mes
Municipi,08016,Bagà,2022,gener - desembre,29,427.76,> 350 i <= 450 euros/mes
Municipi,25039,Baix Pallars,2022,gener - desembre,6,397.50,> 350 i <= 450 euros/mes
Municipi,25040,Balaguer,2022,gener - desembre,332,379.76,> 350 i <= 450 euros/mes
Municipi,08017,Balenyà,2022,gener - desembre,59,556.04,> 450 i <= 600 euros/mes
Municipi,08018,Balsareny,2022,gener - desembre,38,429.65,> 350 i <= 450 euros/mes
Municipi,43020,Banyeres del Penedès,2022,gener - desembre,34,600.78,> 600 euros/mes
Municipi,17015,Banyoles,2022,gener - desembre,447,588.83,> 450 i <= 600 euros/mes
Municipi,25041,Barbens,2022,gener - desembre,11,432.36,> 350 i <= 450 euros/mes
Municipi,43021,Barberà de la Conca,2022,gener - desembre,8,356.88,> 350 i <= 450 euros/mes
Municipi,08252,Barberà del Vallès,2022,gener - desembre,399,704.62,> 600 euros/mes
Municipi,08019,Barcelona,2022,gener - desembre,47927,1026.86,> 600 euros/mes
Municipi,17016,Bàscara,2022,gener - desembre,20,607.09,> 600 euros/mes
Municipi,43022,Batea,2022,gener - desembre,12,300.00,<= 350 euros/mes
Municipi,08020,Begues,2022,gener - desembre,117,996.44,> 600 euros/mes
Municipi,17013,Begur,2022,gener - desembre,24,840.54,> 600 euros/mes
Municipi,25046,Belianes,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,25170,Bellaguarda,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,17018,Bellcaire d'Empordà,2022,gener - desembre,9,572.22,> 450 i <= 600 euros/mes
Municipi,25047,Bellcaire d'Urgell,2022,gener - desembre,10,354.50,> 350 i <= 450 euros/mes
Municipi,25048,Bell-lloc d'Urgell,2022,gener - desembre,19,412.11,> 350 i <= 450 euros/mes
Municipi,43023,Bellmunt del Priorat,2022,gener - desembre,2,,<= 350 euros/mes
Municipi,08021,Bellprat,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,25050,Bellpuig,2022,gener - desembre,69,380.00,> 350 i <= 450 euros/mes
Municipi,43024,Bellvei,2022,gener - desembre,33,535.08,> 450 i <= 600 euros/mes
Municipi,25051,Bellver de Cerdanya,2022,gener - desembre,52,582.67,> 450 i <= 600 euros/mes
Municipi,25052,Bellvís,2022,gener - desembre,16,396.56,> 350 i <= 450 euros/mes
Municipi,25053,Benavent de Segrià,2022,gener - desembre,3,,> 600 euros/mes
Municipi,43025,Benifallet,2022,gener - desembre,3,,<= 350 euros/mes
Municipi,43026,Benissanet,2022,gener - desembre,3,,<= 350 euros/mes
Municipi,08022,Berga,2022,gener - desembre,416,418.11,> 350 i <= 450 euros/mes
Municipi,17019,Besalú,2022,gener - desembre,51,522.55,> 450 i <= 600 euros/mes
Municipi,17020,Bescanó,2022,gener - desembre,31,668.06,> 600 euros/mes
Municipi,17021,Beuda,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,08023,Bigues i Riells del Fai,2022,gener - desembre,68,798.70,> 600 euros/mes
Municipi,25055,Biosca,2022,gener - desembre,3,,> 450 i <= 600 euros/mes
Municipi,43027,"Bisbal de Falset, la",2022,gener - desembre,1,,> 600 euros/mes
Municipi,43028,"Bisbal del Penedès, la",2022,gener - desembre,29,589.34,> 450 i <= 600 euros/mes
Municipi,17022,"Bisbal d'Empordà, la",2022,gener - desembre,218,508.14,> 450 i <= 600 euros/mes
Municipi,43029,Blancafort,2022,gener - desembre,7,342.86,<= 350 euros/mes
Municipi,17023,Blanes,2022,gener - desembre,857,554.21,> 450 i <= 600 euros/mes
Municipi,17029,Boadella i les Escaules,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,17024,Bolvir,2022,gener - desembre,7,838.57,> 600 euros/mes
Municipi,43030,Bonastre,2022,gener - desembre,9,445.56,> 350 i <= 450 euros/mes
Municipi,25057,"Bòrdes, es",2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,17025,Bordils,2022,gener - desembre,22,682.27,> 600 euros/mes
Municipi,25058,"Borges Blanques, les",2022,gener - desembre,109,391.67,> 350 i <= 450 euros/mes
Municipi,43031,"Borges del Camp, les",2022,gener - desembre,31,417.74,> 350 i <= 450 euros/mes
Municipi,17026,Borrassà,2022,gener - desembre,5,,> 600 euros/mes
Municipi,08024,Borredà,2022,gener - desembre,6,289.67,<= 350 euros/mes
Municipi,25059,Bossòst,2022,gener - desembre,18,520.83,> 450 i <= 600 euros/mes
Municipi,43032,Bot,2022,gener - desembre,3,,> 350 i <= 450 euros/mes
Municipi,43033,Botarell,2022,gener - desembre,7,475.00,> 450 i <= 600 euros/mes
Municipi,43034,Bràfim,2022,gener - desembre,4,,<= 350 euros/mes
Municipi,17027,Breda,2022,gener - desembre,92,521.87,> 450 i <= 600 euros/mes
Municipi,08025,"Bruc, el",2022,gener - desembre,26,658.15,> 600 euros/mes
Municipi,17028,Brunyola i Sant Martí Sapresa,2022,gener - desembre,4,,> 600 euros/mes
Municipi,43035,Cabacés,2022,gener - desembre,8,615.00,> 600 euros/mes
Municipi,17030,Cabanes,2022,gener - desembre,10,522.00,> 450 i <= 600 euros/mes
Municipi,08027,"Cabanyes, les",2022,gener - desembre,6,758.33,> 600 euros/mes
Municipi,43036,Cabra del Camp,2022,gener - desembre,13,576.54,> 450 i <= 600 euros/mes
Municipi,08028,Cabrera d'Anoia,2022,gener - desembre,3,,> 600 euros/mes
Municipi,08029,Cabrera de Mar,2022,gener - desembre,66,1290.59,> 600 euros/mes
Municipi,08030,Cabrils,2022,gener - desembre,87,1444.31,> 600 euros/mes
Municipi,17032,Cadaqués,2022,gener - desembre,50,691.48,> 600 euros/mes
Municipi,08031,Calaf,2022,gener - desembre,55,393.17,> 350 i <= 450 euros/mes
Municipi,43037,Calafell,2022,gener - desembre,601,644.11,> 600 euros/mes
Municipi,08034,Calders,2022,gener - desembre,12,433.64,> 350 i <= 450 euros/mes
Municipi,17033,Caldes de Malavella,2022,gener - desembre,80,689.99,> 600 euros/mes
Municipi,08033,Caldes de Montbui,2022,gener - desembre,394,721.45,> 600 euros/mes
Municipi,08032,Caldes d'Estrac,2022,gener - desembre,57,907.09,> 600 euros/mes
Municipi,08035,Calella,2022,gener - desembre,520,629.25,> 600 euros/mes
Municipi,08037,Calldetenes,2022,gener - desembre,35,605.95,> 600 euros/mes
Municipi,08038,Callús,2022,gener - desembre,67,415.65,> 350 i <= 450 euros/mes
Municipi,08036,Calonge de Segarra,2022,gener - desembre,3,,<= 350 euros/mes
Municipi,17034,Calonge i Sant Antoni,2022,gener - desembre,154,704.19,> 600 euros/mes
Municipi,25062,Camarasa,2022,gener - desembre,8,521.88,> 450 i <= 600 euros/mes
Municipi,43903,Camarles,2022,gener - desembre,34,378.38,> 350 i <= 450 euros/mes
Municipi,43038,Cambrils,2022,gener - desembre,598,648.52,> 600 euros/mes
Municipi,17035,Camós,2022,gener - desembre,3,,> 600 euros/mes
Municipi,17036,Campdevànol,2022,gener - desembre,29,457.41,> 450 i <= 600 euros/mes
Municipi,08039,Campins,2022,gener - desembre,13,822.69,> 600 euros/mes
Municipi,17038,Campllong,2022,gener - desembre,5,,> 600 euros/mes
Municipi,17039,Camprodon,2022,gener - desembre,22,418.86,> 350 i <= 450 euros/mes
Municipi,17040,Canet d'Adri,2022,gener - desembre,6,750.00,> 600 euros/mes
Municipi,08040,Canet de Mar,2022,gener - desembre,280,649.93,> 600 euros/mes
Municipi,43907,"Canonja, la",2022,gener - desembre,84,488.39,> 450 i <= 600 euros/mes
Municipi,08041,Canovelles,2022,gener - desembre,192,601.61,> 600 euros/mes
Municipi,08042,Cànoves i Samalús,2022,gener - desembre,19,998.32,> 600 euros/mes
Municipi,17041,Cantallops,2022,gener - desembre,6,595.83,> 450 i <= 600 euros/mes
Municipi,08043,Canyelles,2022,gener - desembre,28,883.93,> 600 euros/mes
Municipi,43040,Capçanes,2022,gener - desembre,4,,> 350 i <= 450 euros/mes
Municipi,08044,Capellades,2022,gener - desembre,81,517.10,> 450 i <= 600 euros/mes
Municipi,17042,Capmany,2022,gener - desembre,6,495.00,> 450 i <= 600 euros/mes
Municipi,08046,Cardedeu,2022,gener - desembre,354,740.82,> 600 euros/mes
Municipi,08047,Cardona,2022,gener - desembre,79,361.81,> 350 i <= 450 euros/mes
Municipi,08048,Carme,2022,gener - desembre,7,410.00,> 350 i <= 450 euros/mes
Municipi,43041,Caseres,2022,gener - desembre,2,,> 350 i <= 450 euros/mes
